January = (t:kha) (w:January) (e:tukha pen bang ~ ahia le?)
February = (t:kha) (w:February) (e:tukha pen bang ~ ahia le?)
March = (t:kha) (w:March) (e:tukha pen bang ~ ahia le?)
April = (t:kha) (w:April) (e:tukha pen bang ~ ahia le?)
May = (t:kha) (w:May) (e:tukha pen bang ~ ahia le?)
June = (t:kha) (w:June) (e:tukha pen bang ~ ahia le?)
July = (t:kha) (w:July) (e:tukha pen bang ~ ahia le?)
August = (t:kha) (w:August) (e:tukha pen bang ~ ahia le?)
September = (t:kha) (w:September) (e:tukha pen bang ~ ahia le?)
October = (t:kha) (w:October) (e:tukha pen bang ~ ahia le?)
November = (t:kha) (w:November) (e:tukha pen bang ~ ahia le?)
December = (t:kha) (w:December) (e:tukha pen bang ~ ahia le?)
